,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA¥A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,,SUPER 99 TUMBA MUERTO,,XTRA TUMBA MUERTO,,EL MACHETAZO COSTA SUR,,EL MACHETAZO METRO MALL,,SUPER 99 LOS PUEBLOS,,SUPER 99 PEDREGAL,,SUPER 99 PLAZA TOCUMEN,,XTRA LAS ACACIAS,,XTRA LOS PUEBLOS,,REY CHANIS,,SUPER 99 CHANIS,,SUPER 99 PORTOBELO,,REY 12 DE OCTUBRE,,SUPER 99 VISTA HERMOSA,,CASA DE LA CARNE VIA PORRAS,,REY CALLE 50,,SUPER 99 SAN FRANCISCO,,SUPER 99 VÖA PORRAS,,EL FUERTE SAN MIGUELITO,,EL MACHETAZO SAN MIGUELITO,,REY BRISAS DEL GOLF,,REY VILLA LUCRE,,SUPER 99 BRISAS DEL GOLF,,SUPER 99 LOS ANDES,,SUPER 99 VILLA LUCRE,,XTRA MARKET  VILLA LUCRE,,XTRA OJO DE AGUA,,XTRA PAN DE AZéCAR,,EL MACHETAZO CALIDONIA,,EL MACHETAZO SANTA ANA,,REY BOMBERO SANTA ANA,,SUPER 99 LA CUCHILLA CALIDONIA,,SUPER 99 MA¥ANITAS,,EL FUERTE VILLA ZAITA,,REY MILLA 8,,SUPER 99 LA CABIMA,
14,1,Babilla (Carne de res de Primera) *,1 Kilogramos,6.45,6.55,6.45,6.55,6.45,6.45,6.55,6.45,6.55,6.53,6.53,6.55,6.55,6.55,6.55,6.45,6.55,6.45,6.55,6.45,6.55,6.06,6.55,6.55,6.55,6.55,6.55,6.45,6.55,6.45,6.55,6.55,6.55,6.45,6.55,6.45,6.55,6.55,6.55,6.55,6.55,6.45,6.55,5.98,6.55,6.45,6.55,6.55,6.55,6.45,6.55,6.45,6.55,6.55,6.55,6.55,6.55,6.44,6.55,6.45,6.55,5.91,,,6.55,,,,6.55,,,6.55,,,,,6.55,6.45,6.55
14,2,Bistec de Cinta *,1 Kilogramos,4.96,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.60,5.60,5.54,5.62,5.62,5.62,5.62,5.62,5.62,5.50,5.62,5.62,4.79,4.83,5.58,5.50,5.62,5.62,5.62,5.50,5.62,5.50,5.62,5.62,5.62,5.50,4.96,4.96,5.54,5.50,5.62,5.62,5.54,5.50,5.65,5.50,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.54,5.62,5.54,5.50,5.60,5.60,5.54,5.15,5.57,5.57,5.62,,5.62,5.62,,,5.62,5.62,5.62,,5.17,5.17,5.62,5.50,5.54,5.50
14,3,Carne Molida de Primera *,1 Kilogramos,4.72,4.72,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.72,4.56,4.72,4.56,4.72,4.56,4.74,4.59,4.74,4.56,4.72,4.59,4.72,4.56,4.72,4.56,4.72,3.45,4.74,4.74,4.72,4.74,4.72,4.56,4.74,4.74,4.74,4.56,4.72,4.56,4.74,4.59,4.74,4.74,4.58,4.58,4.72,4.56,4.72,4.56,4.72,4.56,4.74,4.59,4.74,4.74,4.74,4.74,4.72,4.56,4.72,4.56,4.72,,4.74,4.74,4.74,,,,4.74,4.74,4.74,,4.45,4.45,,4.56,4.74,4.56
14,4,Carne para Sopa (Costilla) *,1 Kilogramos,4.64,4.64,4.64,4.64,4.45,4.64,4.64,4.64,4.64,4.22,4.14,4.64,4.95,4.64,4.95,4.64,4.64,4.45,4.64,4.64,4.64,4.64,4.18,4.87,4.18,4.64,4.64,4.64,4.64,4.64,4.45,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.45,4.64,4.94,4.95,4.95,4.64,4.64,4.64,4.64,4.64,4.64,4.98,4.64,4.64,4.45,4.64,4.64,4.64,4.13,4.43,,,,4.95,,,,,,4.45,,,,,4.64,4.64,4.64
14,5,Puerco Liso *,1 Kilogramos,5.72,6.31,14.26,14.26,4.79,6.31,4.74,6.31,6.09,7.15,6.09,5.75,6.09,6.35,6.09,6.31,6.09,4.79,6.09,6.31,4.49,7.15,4.47,7.15,4.47,6.31,6.09,6.31,6.09,4.79,6.09,6.31,6.09,6.31,6.09,7.80,7.80,5.65,5.65,4.79,6.09,4.79,6.09,5.45,5.45,5.49,6.09,6.31,6.09,6.31,6.09,4.74,6.09,4.79,6.09,4.79,6.09,7.15,7.15,6.31,5.43,5.43,5.43,5.75,,,,4.08,5.35,,,4.79,,,,,6.09,6.31,6.09
14,6,Pulpa Negra *,1 Kilogramos,8.89,7.49,7.85,13.18,7.69,7.69,7.88,7.85,7.69,7.64,7.64,7.99,7.99,7.95,7.95,7.69,7.88,7.69,7.69,7.69,7.69,7.66,7.78,7.67,7.78,7.49,7.49,7.69,7.69,7.69,7.69,7.85,7.69,7.59,7.69,8.89,8.89,7.85,7.49,7.69,7.69,7.69,7.69,7.44,7.88,7.58,7.95,7.49,7.49,7.85,7.49,7.69,7.69,7.69,7.69,7.69,7.69,7.46,7.46,6.73,7.88,7.41,7.41,,7.95,,7.95,,,,7.69,7.69,,6.86,6.86,,7.49,7.85,7.69
14,7,Muslo de Pollo con Piel *,1 Kilogramos,3.83,3.67,4.49,4.49,3.45,3.67,3.45,3.67,3.59,3.67,3.43,3.67,3.59,3.75,2.59,3.67,3.59,3.45,3.85,3.45,3.59,3.37,3.40,3.67,3.40,3.60,3.68,3.45,3.45,3.45,3.45,3.67,3.60,3.67,3.59,4.25,3.68,3.60,3.60,3.67,3.59,3.45,3.59,3.59,3.59,3.65,3.75,3.60,3.60,3.62,3.59,3.67,3.59,3.45,3.45,3.67,3.45,3.67,3.43,3.67,3.59,3.57,3.57,3.75,3.75,3.59,3.75,3.60,,3.45,,4.15,,3.56,3.59,3.60,3.59,3.45,3.59
14,8,Pechuga de Pollo con Piel *,1 Kilogramos,5.72,3.24,4.25,4.25,3.24,2.99,2.99,2.99,3.21,2.97,2.97,3.09,3.09,3.24,2.96,3.24,2.99,2.99,2.99,2.99,2.99,3.85,2.97,3.24,2.97,3.06,2.98,2.99,2.99,2.99,2.99,3.09,2.98,2.95,2.95,4.11,4.11,2.98,2.98,2.99,2.99,2.99,3.99,3.05,2.91,2.95,2.96,3.08,3.08,3.78,3.08,2.99,2.99,2.99,2.99,2.99,3.21,3.85,3.85,2.87,2.98,2.88,2.88,3.05,3.05,3.09,3.05,3.08,2.97,2.99,2.99,2.99,,3.05,2.91,3.08,3.08,2.99,3.21
14,9,Pollo Entero s/plumas *,1 Kilogramos,2.93,2.25,2.73,2.73,2.29,2.60,1.76,2.29,1.76,2.27,1.74,2.35,1.79,2.35,1.98,1.87,1.74,2.36,1.74,2.29,1.74,2.07,1.68,2.07,1.68,1.96,1.96,2.25,1.92,2.09,1.76,2.09,1.80,2.29,1.76,2.79,1.92,2.09,2.09,2.09,1.74,2.09,1.74,1.96,1.72,2.29,1.79,2.09,1.82,2.09,2.09,2.29,1.74,2.29,1.76,2.60,1.76,1.94,1.74,1.76,1.70,1.94,1.70,2.29,1.98,,2.29,2.09,1.80,2.29,1.76,2.09,,,1.72,2.36,2.36,2.29,2.60
14,10,Pescado Corvina *,1 Kilogramos,7.86,7.86,9.95,9.55,7.86,7.86,7.76,7.86,7.76,7.86,7.76,7.86,6.95,7.86,6.95,8.39,7.76,7.86,7.76,7.86,7.76,7.86,7.76,8.69,8.69,7.86,7.76,7.86,7.76,7.86,8.39,7.86,7.80,7.86,7.76,7.86,7.76,7.86,7.81,8.39,8.39,8.39,8.39,5.99,5.99,6.95,6.95,7.86,7.76,7.86,7.76,7.86,8.39,8.39,7.76,7.86,8.39,7.86,7.76,6.73,7.76,5.97,,6.95,,,,,,,,,,,,,7.76,7.86,7.76
