Fecha:  Del 16 al 26 de noviembre de 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Producto;Medida;CASA DE LA CARNE CANGREJO;REY DE VIA ESPA•A;RIBA SMITH BELLA VISTA;RIBA SMITH TRANSISTMICA;REY EL DORADO;SUPER 99 CAMINO REAL;SUPER 99 EL DORADO;SUPER 99 TUMBA MUERTO;XTRA TUMBA MUERTO;EL MACHETAZO COSTA SUR;EL MACHETAZO METRO MALL;SUPER 99 LOS PUEBLOS;SUPER 99 PEDREGAL;SUPER 99 PLAZA TOCUMEN;XTRA LAS ACACIAS;XTRA LOS PUEBLOS;REY CHANIS;SUPER 99 CHANIS;SUPER 99 PORTOBELO;REY 12 DE OCTUBRE;SUPER 99 VISTA HERMOSA;CASA DE LA CARNE VIA PORRAS;REY CALLE 50;SUPER 99 SAN FRANCISCO;SUPER 99 V÷A PORRAS;EL FUERTE SAN MIGUELITO;EL MACHETAZO SAN MIGUELITO;REY BRISAS DEL GOLF;REY VILLA LUCRE;SUPER 99 BRISAS DEL GOLF;SUPER 99 LOS ANDES;SUPER 99 VILLA LUCRE;XTRA MARKET  VILLA LUCRE;XTRA OJO DE AGUA;XTRA PAN DE AZÈCAR;EL MACHETAZO CALIDONIA;EL MACHETAZO SANTA ANA;REY BOMBERO SANTA ANA;SUPER 99 LA CUCHILLA CALIDONIA;EL FUERTE VILLA ZAITA;REY MILLA 8;SUPER 99 LA CABIMA;EL MACHETAZO NVO. TOCUMEN;EL MACHETAZO PUNTA DEL ESTE;REY LAS AMERICAS;SUPER 99 24 DE DICIEMBRE;SUPER 99 MA•ANITAS;SUPER 99 MEGA MALL;XTRA  24 DICIEMBRE;XTRA CHEPO;XTRA PACORA;MINISUPER CD;ABA EL CANGREJO/BELLA VISTA;FRUTER÷A  MIMI;MINI MARKET ONLY;ABT. JUAN CARLOS - BETHANIA;MINISUPER - JANET - BETHANIA;ABT. ELENA - BETHANIA;MINISUPER - ESTELA - BETHANIA;MINISUPER - EL PROGRESO - PARQ LEFEVRE;MINISUPER - EL CHEVERE - PAR. LEFEVRE;ABT. PANAMµ VIEJO - PAR. LEFEVRE;MINI SUPER MAGIC PAN;ABARROTERIA LOS AMIGOS;MINISUPER PUEBLO NUEVO;MINISUPER ROSITA;MINISUPER CHONSITO - PUEBLO NUEVO;MINISUPER FUENTE DE ORO - SAN FCO;MINISUPER ECLIPSE-SAN FCO.;M/S DALLYS - BOCA LA CAJA;MINISUPER PAN;ABT. LE‡N-SAN MIGUELITO;MINISUPER FLORECIENTE;ABT. DENIA-SAN MIGUELITO;MINISUPER - JIMMY LIAO;MINISUPER - EXCELENTE -JUAN D÷AZ;MINISUPER - JUAN D÷AZ;MINISUPER JULY ZHANG- JUAN D÷AZ;M/S SUSANA LUO JUAN DIAZ;MINISUPER PLAZA AMADOR;ABT EDITH- SANTA ANA;MINISUPER EXPRESO-CALIDONIA;MINISUPER ROY-CALIDONIA;MINISUPER EL MILENIO;M/S VILLA ZAITA;M/S OCêANO;ABARROTER÷A BERAKA;ABT - LA PAGODA;ABT. LA PAGODA NO. 2;M/S MULTI CARNES
Babilla (Carne de res de Primera) *;1 Kilogramos;;6.55;6.55;6.55;6.55;;;;;;6.55;;;;;6.11;6.55;;6.55;6.55;6.55;;6.55;6.55;6.55;;6.55;6.55;6.55;6.55;6.55;6.55;6.53;;;6.55;6.55;6.55;;;6.55;;6.55;6.55;6.55;6.55;;;6.53;6.50;6.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.33;6.05;6.54
Bistec de Cinta  *;1 Kilogramos;;;5.62;5.62;;5.62;5.62;5.62;;5.62;4.75;;;5.62;4.73;4.73;5.62;5.62;5.62;5.62;;4.96;5.62;5.62;5.62;5.59;5.62;5.62;5.62;5.62;;;5.43;5.43;5.57;5.62;5.62;;5.19;5.45;5.62;5.18;5.62;5.62;4.85;;5.62;;5.17;5.52;5.60;;;;;;;;;;;;;;;;;;;;;;5.62;;;;5.40;;;5.62;;;;5.62;;5.40;;5.40;4.73;5.62
Carne Molida de Primera  *;1 Kilogramos;;;4.74;4.74;;4.74;4.74;;;;;4.74;4.74;4.74;;;;4.74;4.74;;4.74;;;4.74;4.74;4.58;;;;4.74;4.74;4.74;;4.72;;;;4.74;4.74;4.54;4.74;4.74;;;;4.74;4.74;4.74;;;;;;;;4.74;;;4.41;;4.41;;;;4.52;;;;;;;;;;;;4.74;;;;;;;;;;;4.39;4.73;4.41
Carne para Sopa (Costilla) ;1 Kilogramos;;;;;;3.56;3.56;;4.54;;5.85;;;;;3.63;;;;;;;;3.56;3.56;4.73;4.75;6.28;;3.83;;;3.54;;4.73;;;;;3.55;;;;5.85;6.28;;;3.83;;;;;;;;;;;;;4.41;;;;;;;5.18;;;;;4.96;;;;5.51;;;;;;;;;;;3.94;;5.84
Puerco Liso ;1 Kilogramos;7.80;;14.26;14.26;6.83;4.99;;;4.97;;5.95;;;;4.97;4.97;;;;;;7.80;6.83;4.99;4.99;5.57;;6.15;6.83;;4.99;;5.40;;4.94;5.95;5.95;;;4.98;;;5.95;;;4.99;;4.99;5.93;;5.93;;;;;7.17;;;7.72;;7.72;;;;7.75;;;;;;;;6.61;8.27;;7.17;6.28;;;;5.51;;;5.51;;7.17;;5.40;6.36;5.62
Pulpa Negra ;1 Kilogramos;;;13.18;13.18;8.05;7.69;7.69;7.39;7.66;;;7.69;7.69;7.69;6.97;6.97;8.05;7.69;7.69;8.05;7.69;8.89;8.05;7.69;7.69;7.65;7.95;8.05;8.05;7.69;7.69;7.69;7.66;;7.66;7.95;6.95;8.05;;6.75;8.05;7.69;7.95;7.95;6.62;7.69;7.69;7.69;6.57;7.51;7.66;;;;;8.49;;;;;8.82;;;;8.71;8.38;8.27;8.27;;;7.72;;8.16;7.72;8.71;8.27;7.49;;;8.27;8.05;;;7.72;;8.27;;6.94;7.24;
Muslo de Pollo con Piel ;1 Kilogramos;4.25;;4.38;4.38;3.60;3.99;;;3.58;;;3.99;;3.99;3.83;;3.60;3.99;3.99;3.60;;4.25;3.60;;;3.59;3.75;3.60;3.99;3.99;3.99;3.99;;3.90;;;;;3.99;;3.59;;3.95;3.99;3.60;;3.99;;;;;;;;;;;;;;3.86;;;;;;;;;;;;;;4.08;3.31;;;;3.31;3.86;;;;3.86;;;3.28;3.70;4.19
Pechuga de Pollo con Piel ;1 Kilogramos;4.11;4.74;4.25;4.25;3.09;2.99;2.99;3.25;2.97;;2.54;2.99;3.25;2.99;2.36;2.38;3.09;2.99;2.99;3.09;3.86;;;2.99;2.99;2.67;2.54;;;2.99;2.99;2.99;2.97;3.06;2.52;2.99;3.05;3.09;3.25;2.95;3.09;3.26;2.98;2.99;3.09;2.99;2.99;2.99;2.96;2.87;2.96;;;;;3.86;3.86;;;;3.86;;;;;;;;;;;;;;4.08;3.31;;;;3.31;2.98;3.20;;2.98;3.64;2.98;;2.76;2.84;
Pollo Entero s/plumas  *;1 Kilogramos;2.93;2.20;2.73;2.73;2.27;2.49;2.49;2.49;2.25;2.29;2.39;2.49;2.49;2.49;2.17;2.37;2.27;2.49;2.49;2.27;2.49;2.39;2.27;2.49;2.49;2.24;2.25;2.27;;2.49;2.49;2.49;2.25;2.36;2.23;2.39;2.39;2.20;2.49;2.31;2.27;2.49;2.45;2.45;2.20;2.49;2.49;2.49;2.42;2.32;2.43;;;;;2.60;2.60;;2.60;;2.54;;2.54;;2.20;2.20;2.16;2.60;;;2.43;;;2.20;2.20;2.31;2.05;;;2.20;2.09;2.43;;2.20;2.43;2.31;2.31;2.09;2.09;2.40
Pescado Corvina ;1 Kilogramos;;;9.10;9.10;7.81;8.39;8.39;8.39;8.37;;;;;;8.69;8.69;;;;7.81;;;7.81;;;;6.95;;;;8.39;8.39;;;4.97;6.95;;;;;;;6.95;6.95;;8.39;;;6.93;;6.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
