,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPAÑA,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 VÍA PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÚCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MAÑANITAS,XTRA  24 DICIEMBRE,XTRA PACORA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,MINISUPER EL VETERANO,MINISUPER CD,ABA EL CANGREJO/ BELLA VISTA,FRUTERÍA  MIMI,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMÁ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LEÓN-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN DÍAZ,MINISUPER - JUAN DÍAZ,MINISUPER JULY ZHANG- JUAN DÍAZ,M/S SUSANA LUO JUAN DIAZ,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES,M/S CABALLEROS LOO,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCÉANO,ABARROTERÍA BERAKA
14,1,Babilla (Carne de res de Primera) *,1 Kilogramos,,6.55,6.55,6.55,,,,5.97,6.55,6.52,,,,,,,,,6.36,,,6.36,6.55,6.55,,6.19,6.33,6.55,5.93,6.55,,,6.17,,,6.39,6.36,,6.55,6.55,6.36,,6.55,6.34,6.34,,6.55,,,,,,,,,,,,,,,6.55,,,,,,,,,,,,,,,6.33,6.05,6.54,,,,,,,,,
14,2,Bistec de Cinta *,1 Kilogramos,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.60,5.62,5.60,,5.62,5.62,5.58,5.58,,,,5.62,5.62,5.62,5.62,5.62,5.62,5.57,5.62,5.62,5.62,,,,5.60,4.97,5.55,5.62,5.62,,,5.62,5.62,5.62,,5.62,5.60,4.58,4.99,5.62,5.62,,,,,,,,,,,,,,,,,,,,,,,,5.62,,5.62,,,4.60,5.26,5.62,5.61,5.62,5.62,,,5.62,,,
14,3,Carne Molida de Primera *,1 Kilogramos,,,4.74,,4.74,4.74,4.74,,,,4.74,4.74,,,,,4.74,4.74,,4.14,,,,,4.58,,,,4.74,4.74,4.74,,,,4.74,,2.95,4.74,,4.74,,4.74,4.74,,,4.11,2.95,4.74,,,,,4.74,,,,,,,,,4.74,,,,,,4.74,,,,,,4.74,,,4.38,,4.73,,,,,,4.74,,,
14,4,Carne para Sopa (Costilla) *,1 Kilogramos,,,,5.80,4.45,4.16,,4.65,4.95,4.95,4.45,4.45,4.45,,4.65,5.65,,4.16,5.67,4.16,,5.45,,,,5.20,,,4.45,,4.45,,,4.96,,4.50,,,,4.95,3.69,,4.45,,,4.28,,,,,,,,,,,,4.41,,,,,,,,,,,,,,,,6.06,,,,,,,,3.86,4.08,,,,,
14,5,Puerco Liso *,1 Kilogramos,7.80,,,,,4.55,,4.53,5.65,5.95,,,,5.16,5.16,,4.55,4.55,4.59,4.55,7.80,6.89,,6.89,5.38,5.49,4.59,,4.55,,,4.53,5.13,,,5.15,4.59,,5.85,5.95,,4.55,4.55,5.16,,5.15,5.65,,,,,,8.49,,,7.17,,7.72,6.61,7.17,,7.72,,6.61,6.61,,,,7.50,7.17,7.17,7.72,,,,,5.83,5.92,5.62,7.70,6.61,7.17,,,6.61,6.50,7.17,7.39
14,6,Pulpa Negra *,1 Kilogramos,8.89,7.49,13.18,13.18,7.69,7.69,7.69,7.66,,7.69,7.69,7.69,7.69,7.66,7.67,7.69,7.69,7.69,7.49,7.69,8.89,5.98,,,7.56,7.58,7.49,7.42,7.69,,7.69,7.46,,7.53,7.69,7.58,7.49,7.69,7.45,7.45,7.49,7.69,7.69,7.42,7.42,6.75,7.49,7.69,,,,,,,,8.82,,8.82,8.27,7.72,,8.60,,,8.27,,,7.72,8.38,8.16,7.72,8.71,,,8.71,,6.58,6.58,8.26,8.69,8.60,8.71,8.49,,7.72,8.71,8.27,
14,7,Muslo de Pollo con Piel *,1 Kilogramos,3.83,,4.49,,3.45,3.45,3.45,3.43,3.39,3.39,3.45,3.45,3.45,3.37,3.37,3.60,3.45,3.45,3.59,3.45,3.75,3.60,3.45,3.45,3.59,3.65,3.60,3.62,3.45,3.45,4.15,3.43,3.42,,3.39,3.59,3.60,3.45,3.25,3.29,3.60,3.85,4.15,3.23,,3.44,3.54,3.45,,,,,,3.86,,,,3.86,,,,,,,,,,,,,,4.08,,,,,3.28,3.06,4.19,4.67,3.31,,,,4.08,,,2.98
14,8,Pechuga de Pollo con Piel *,1 Kilogramos,5.72,,4.25,4.25,2.99,2.99,2.99,2.93,2.95,3.49,2.99,2.99,2.99,2.97,2.33,2.94,2.99,2.99,3.08,2.99,3.53,3.75,2.99,2.99,2.94,2.95,3.10,,2.99,2.99,2.99,3.85,2.87,3.06,2.95,3.09,3.10,2.99,2.95,2.95,3.10,2.99,2.99,2.93,,2.89,3.75,2.99,,,,,3.86,3.86,,4.08,,3.86,,,,,,3.31,,,,,,4.08,,4.08,,,,,2.40,2.62,3.19,3.85,3.31,3.42,3.09,,2.76,3.64,2.43,2.98
14,9,Pollo Entero s/plumas *,1 Kilogramos,2.93,,2.73,2.73,1.96,1.96,1.96,1.79,1.83,1.83,1.96,2.36,1.96,1.68,1.79,1.85,1.96,1.96,1.84,1.95,2.64,1.75,,1.96,1.99,1.87,1.85,2.15,1.96,1.96,2.60,1.79,1.73,1.81,1.83,2.09,1.85,1.96,1.83,1.83,1.85,1.81,1.81,1.79,1.79,1.95,2.05,1.96,,,,,2.60,2.60,,2.60,,1.98,1.98,2.20,,2.20,1.87,1.74,,,,2.60,2.60,1.65,2.20,2.60,,1.65,1.96,,1.52,1.65,1.69,2.20,1.98,1.87,2.09,,1.52,2.20,1.87,2.09
14,10,Pescado Corvina *,1 Kilogramos,,,,9.55,8.39,,8.39,,,,,,,8.69,7.69,,,,7.81,,,,,,5.99,6.95,,,,,,,6.73,,7.75,,,,6.75,6.75,,,,8.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06,,,,,,,,,
14,11,Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.68,0.78,0.78,0.77,0.41,0.41,0.44,0.42,0.55,0.55,0.41,0.44,0.44,0.42,0.42,0.68,0.44,0.44,0.45,0.44,0.65,0.69,0.44,0.44,0.45,0.55,0.59,0.45,0.44,0.44,0.44,0.42,0.36,0.36,0.65,0.65,0.79,0.44,0.55,0.65,,0.41,0.44,0.48,0.42,0.38,0.69,0.44,0.85,0.85,0.75,0.95,0.85,0.60,0.95,,0.80,0.75,0.55,0.75,0.70,0.80,0.50,0.88,0.55,0.75,0.75,0.85,0.75,0.55,,0.85,0.55,0.50,0.65,0.85,0.49,0.45,0.55,0.60,0.80,0.65,0.50,0.85,,0.80,0.55,0.75
14,12,Tuna en Agua *,142 Gramos,,1.30,1.53,,1.15,1.15,1.15,1.03,1.57,1.57,1.15,1.15,1.15,1.03,1.23,,1.15,1.25,1.74,1.05,1.12,1.29,1.15,1.15,1.37,1.57,1.80,1.65,1.15,1.25,1.15,1.23,1.23,1.13,,1.57,1.80,1.15,1.09,,1.25,1.20,1.25,1.23,1.06,,,1.25,,,,,,,1.85,,,1.60,,1.50,1.65,1.65,1.55,1.65,,,,1.60,1.05,,,,1.45,1.55,,1.50,1.15,1.12,1.55,1.45,,,1.25,1.75,,,,1.65
14,13,Jamón Cocido Empacado 4x4 *,1 Kilogramos,7.47,7.94,,,5.49,7.61,7.47,7.56,7.83,,7.61,,7.61,7.56,7.56,7.94,7.61,7.61,7.94,5.49,,7.94,7.61,7.61,7.52,7.83,7.17,7.94,7.61,7.61,7.61,7.76,7.25,7.76,7.83,7.83,,5.49,9.48,9.48,7.94,,7.61,7.76,,7.52,,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,,,8.40,,4.96,8.36,8.36,8.31,,8.38,,,8.36,8.33,,,,,,4.96,,,,8.58,8.09,8.38,8.58,,,8.36,,8.31,8.07,,,,,4.96,,,,,,,,8.09,,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,,3.42,7.67,,3.97,3.97,3.97,3.42,3.95,3.42,3.97,3.97,3.42,,3.42,3.42,3.97,3.97,3.42,3.42,6.48,3.42,3.97,3.42,3.42,3.95,3.42,3.42,3.97,3.42,3.97,3.42,3.42,3.42,3.42,3.42,,3.97,3.42,3.42,,3.42,,3.42,3.42,3.42,4.41,3.42,,,,,,,,7.72,,7.17,,,,,,,,,,,,,,,,,,,3.42,3.42,,,,,,,7.72,,,
5,16,Arroz de Primera *,1 Kilogramos,0.88,0.87,0.88,0.88,0.88,0.88,0.88,0.86,0.88,0.88,0.88,0.88,0.88,0.85,0.85,0.87,0.88,0.88,0.87,0.88,0.88,0.87,0.88,0.88,0.88,,0.87,0.87,0.88,0.88,0.88,0.85,0.85,0.86,0.87,0.88,0.87,0.88,0.88,0.88,0.87,0.88,0.88,0.85,0.85,,0.87,0.88,,,,0.88,0.88,0.88,,,,,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
5,17,Codito *,454 Gramos,0.83,0.85,0.89,0.89,0.79,0.79,0.79,0.57,0.69,0.69,0.79,0.79,0.79,,0.77,0.85,0.79,0.79,0.59,0.79,0.85,0.58,0.79,0.79,,0.65,0.59,0.87,0.79,0.79,0.79,0.87,0.60,0.60,0.78,0.75,0.59,0.79,0.69,0.78,0.59,0.79,0.79,0.77,0.77,0.77,0.87,0.79,1.00,1.00,1.00,0.95,0.95,0.90,0.95,0.95,,0.85,0.85,0.85,1.00,0.85,,0.90,0.85,0.85,,0.85,1.00,0.90,0.90,0.85,1.00,0.95,1.00,0.85,0.72,0.85,0.95,0.95,1.00,0.90,0.80,0.95,0.85,0.85,0.85,0.85
5,18,Crema  de Maíz *,300 Gramos,,0.65,0.63,0.63,0.60,0.60,0.60,0.63,0.60,0.70,0.60,0.60,0.60,0.63,0.63,0.65,0.60,0.60,0.65,0.65,0.64,0.65,0.55,0.60,0.69,0.69,0.65,0.65,0.60,0.65,0.60,0.63,0.58,0.58,0.60,0.60,0.79,0.60,0.60,0.70,0.79,0.70,0.65,0.58,0.69,0.69,0.65,0.65,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,
5,19,Hojuelas de Maíz (corn flakes) cajeta *,300 Gramos,3.13,,2.43,2.43,2.50,1.59,1.79,1.98,1.97,2.19,1.59,1.79,1.59,2.18,2.18,2.10,2.30,1.59,2.10,1.79,3.05,2.10,1.85,,1.98,2.19,2.10,2.10,1.59,1.89,1.89,2.18,1.98,1.67,2.45,2.45,2.10,1.59,2.45,2.45,2.50,3.09,2.50,1.95,1.48,2.55,2.10,1.79,,,,,,,,3.75,,,,2.75,,,,,,,,,,2.35,,2.45,,,,2.35,,,,,,,2.15,,2.95,2.95,,2.35
5,20,Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.59,0.69,0.59,0.59,0.63,0.58,0.58,0.56,0.45,0.52,0.54,0.58,0.58,0.61,0.61,,0.58,0.58,0.58,0.58,0.59,0.58,0.58,0.58,0.56,0.52,0.58,0.58,0.58,0.58,0.63,0.56,0.54,0.50,0.65,0.58,0.58,0.58,0.65,0.65,0.58,0.58,0.63,0.56,0.56,0.56,0.58,0.58,,0.95,1.00,,0.59,0.59,,,,0.59,0.85,0.65,0.59,,,0.59,0.59,0.59,0.59,0.59,,0.59,0.59,,0.59,0.59,0.59,0.59,0.59,0.59,,0.75,0.59,0.59,0.59,0.75,0.60,0.59,0.59,0.59
5,21,Pan de Michita *,1 Kilogramos,,,,,,2.45,,,,,,,,,,,,,2.50,2.45,,,,,,,2.50,,,,,,3.00,3.00,,,,,,,2.50,2.45,,,3.30,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22,Pan Molde *,500 Gramos,0.92,,0.92,0.92,0.92,,0.92,0.90,0.91,0.92,0.92,0.92,0.92,0.88,0.88,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,0.91,0.92,,0.92,0.92,0.92,0.90,0.87,0.87,0.91,0.91,0.91,0.92,,0.92,0.92,0.92,0.92,0.88,0.88,0.92,0.92,0.92,,,,0.92,,,,,0.92,,,,,,,0.92,,,,,,,0.92,,,0.92,0.92,0.92,0.92,0.92,0.92,,0.92,0.92,,,0.92,,0.92,
5,23,Tortilla de Maíz *,10 Unidades,1.10,1.05,1.45,1.45,1.15,1.15,1.15,1.10,1.10,1.10,1.05,1.05,1.15,0.96,0.96,0.80,1.05,1.15,1.05,1.15,,0.80,1.15,1.15,0.99,1.10,0.99,1.00,1.05,1.05,1.05,0.94,0.85,1.11,1.10,1.10,1.19,1.15,1.10,1.15,1.35,1.05,1.15,0.96,1.11,0.87,1.05,1.15,,1.15,,1.25,1.25,1.00,1.35,1.00,1.10,1.25,1.00,1.00,1.15,1.00,0.99,1.00,1.00,,1.00,1.00,1.10,1.00,1.00,1.10,1.00,1.00,1.00,1.00,0.95,0.99,0.95,1.00,1.00,1.00,1.00,1.25,1.00,1.00,1.00,0.95
