Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Babilla (Carne de res de Primera) *,1 Kilogramos,,6.55,6.55,6.55,,,,,,,,,,6.55,,6.40,6.55,6.55,,6.55,6.55,,6.55,,,,,6.55,6.55,6.55,6.55,,6.53,6.53,5.43,5.92,5.92,,,6.55,6.55,5.98,,6.55,6.55,,6.55,,5.96,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,6.06,6.54
Bistec de Cinta *,1 Kilogramos,5.62,5.62,5.62,5.62,5.62,5.62,,5.62,5.60,4.60,5.59,5.62,,5.62,4.15,4.58,5.62,5.49,,5.62,5.62,4.96,5.62,,5.62,5.59,4.60,5.62,5.62,5.62,5.62,,5.60,5.29,5.57,4.60,4.60,,5.45,5.60,,5.58,5.59,,5.62,5.62,4.17,5.62,5.56,5.46,5.65,,,,,,,,,,5.29,,,,,,,,,,,,,,5.62,,,,,,,,5.62,,5.40,,5.62,,5.62
Carne Molida de Primera *,1 Kilogramos,,4.74,4.74,4.74,,,4.29,,,,,4.29,4.29,4.74,,,,4.74,4.29,4.74,4.29,4.74,,,,4.58,,4.74,4.74,4.74,4.29,4.29,,,,,4.74,,4.54,4.74,4.30,4.58,,4.18,,4.74,4.29,4.74,,,,,,,,4.74,,,,,,,,,,,,4.72,,,4.74,,,,,,,,,,,,,,,,4.39,4.74,4.41
Carne para Sopa (Costilla) *,1 Kilogramos,4.70,4.30,,5.85,,,4.45,,,,4.95,,4.45,4.45,3.70,4.48,5.49,,3.83,4.30,,,,,4.45,4.65,3.95,4.30,4.30,4.45,4.45,,4.05,4.70,3.93,4.50,4.95,,,,,4.49,4.45,3.95,,,,,3.54,3.97,,,,,,,,,,,,,,,,,,,,,,,,,4.96,,,,,,,,,,,,4.39,,
Puerco Liso *,1 Kilogramos,7.80,5.84,14.47,14.47,,5.85,,,5.83,4.96,5.95,5.85,5.85,5.85,5.83,5.83,5.84,5.85,5.85,5.84,5.85,7.80,6.06,,5.85,5.79,,,5.84,5.85,,5.85,5.23,5.41,,4.96,4.96,,,,5.86,5.59,5.95,4.96,5.84,5.85,5.85,5.85,5.57,5.56,5.73,,,,,7.17,,,7.72,,7.72,6.06,,,7.72,,6.50,6.61,7.17,,,,,7.17,7.72,6.61,6.28,,5.51,5.51,,,6.50,7.72,7.17,,4.83,5.40,5.62
Pulpa Negra *,1 Kilogramos,8.89,,13.18,13.18,8.05,7.69,7.69,7.69,,6.37,7.95,7.69,7.69,7.69,7.66,7.66,8.05,7.69,7.69,8.38,7.69,8.89,8.05,7.69,7.69,7.65,6.39,8.05,8.05,7.69,7.69,7.69,7.67,7.05,7.63,6.37,6.37,6.99,6.75,8.05,,7.68,7.95,6.39,8.05,7.69,7.69,7.69,7.55,6.71,7.55,,,,,8.49,8.80,,8.82,,,7.72,,,8.60,8.38,8.27,8.27,8.49,,7.72,,8.27,,8.71,8.27,8.49,8.49,8.27,8.05,8.05,,7.72,,8.27,,6.94,7.16,
Muslo de Pollo con Piel *,1 Kilogramos,4.50,,4.38,4.38,3.60,,3.99,,3.97,3.89,3.85,3.99,3.99,3.99,3.83,,3.20,3.99,3.99,3.60,3.99,4.53,3.60,3.99,3.99,3.59,3.89,3.60,3.60,3.99,3.99,3.99,3.58,3.83,3.57,3.89,3.89,,,3.59,,3.84,3.95,,3.60,3.99,3.99,3.99,3.82,3.81,,,,,,,,,,,3.86,,,,,,,,,,,,,,4.08,,,,,,,,4.08,3.86,,,3.28,,4.19
Pechuga de Pollo con Piel *,1 Kilogramos,4.11,,4.25,4.25,3.09,2.99,2.99,2.99,2.97,2.99,2.99,2.99,2.99,2.99,2.38,2.97,3.09,2.99,2.99,3.05,2.99,4.11,3.05,2.99,2.99,2.63,2.65,3.05,,2.99,2.99,2.99,2.97,2.99,2.39,2.41,2.41,,3.20,3.09,,2.65,2.99,2.65,3.02,2.99,2.40,2.99,2.63,,2.39,,,,,3.86,,,4.08,,3.86,,,,,,3.31,,,,,,4.08,,4.08,,,,,2.98,,,,3.64,3.09,2.98,2.31,,3.19
Pollo Entero s/plumas *,1 Kilogramos,2.93,2.25,2.73,2.73,2.27,2.60,2.60,2.60,2.25,2.29,2.25,2.60,2.60,2.60,1.94,2.33,2.28,2.60,2.60,2.27,2.60,2.93,2.27,2.60,2.60,2.28,2.29,2.27,2.20,2.60,2.60,2.60,2.18,2.41,2.26,2.19,2.19,2.25,2.47,2.18,2.60,2.13,2.19,2.19,2.20,2.60,2.60,2.60,2.14,2.09,2.11,,,,,2.60,2.60,,2.60,,2.43,1.98,2.54,,2.54,2.60,2.12,2.60,2.60,,2.43,2.54,2.09,2.20,2.60,2.43,1.96,,2.20,2.20,2.20,,2.20,2.43,2.09,2.20,2.03,1.96,2.47
Pescado Corvina *,1 Kilogramos,,,9.55,9.55,,8.39,,,8.88,,,,,,8.88,8.88,,,,,,,,,,,6.95,,,,,,8.37,8.14,,,,,,,,,,6.95,,,,,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
