Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MGTO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABT. LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABT. BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Babilla (Carne de res de Primera) *,1 Kilogramos,0.00,6.55,6.55,6.55,6.55,0.00,0.00,0.00,6.53,6.55,5.95,0.00,6.55,6.55,5.77,5.77,6.55,0.00,0.00,6.55,0.00,0.00,6.55,6.55,0.00,0.00,6.39,6.55,0.00,0.00,6.55,0.00,0.00,6.53,6.37,6.49,6.49,0.00,0.00,6.55,0.00,6.54,6.55,6.55,6.55,0.00,6.55,0.00,6.55,6.47,6.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.33,0.00,6.54
Bistec de Cinta *,1 Kilogramos,5.62,0.00,5.62,5.62,5.62,5.62,0.00,5.62,5.04,5.59,5.06,5.62,5.62,5.62,4.77,4.77,5.62,4.17,5.62,5.62,0.00,5.62,5.62,5.62,0.00,5.50,5.50,5.62,5.62,5.62,5.62,0.00,5.60,5.04,5.04,5.59,5.59,5.40,5.58,5.60,0.00,5.58,0.00,5.59,5.62,5.62,4.17,5.62,5.04,5.44,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.62,0.00,0.00,0.00,5.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.40,0.00,5.62,4.74,5.62
Carne Molida de Primera *,1 Kilogramos,0.00,0.00,4.74,4.74,4.74,4.74,0.00,4.74,0.00,4.74,0.00,4.74,4.74,4.74,0.00,0.00,0.00,4.74,4.74,4.74,0.00,0.00,0.00,4.74,4.74,4.33,4.74,4.74,0.00,4.74,4.74,4.74,0.00,4.72,0.00,4.74,4.74,4.74,4.74,4.74,4.74,0.00,0.00,4.74,4.74,0.00,4.75,4.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.41,0.00,0.00,0.00,0.00,4.74,0.00,0.00,0.00,0.00,0.00,0.00,4.74,0.00,0.00,0.00,4.61,0.00,4.41
Carne para Sopa (Costilla) *,1 Kilogramos,0.00,0.00,0.00,0.00,0.00,3.99,3.99,0.00,3.97,4.75,4.75,0.00,3.99,4.45,3.97,3.97,0.00,0.00,0.00,4.19,0.00,0.00,0.00,0.00,3.99,4.75,4.75,0.00,0.00,4.45,0.00,0.00,3.97,4.93,0.00,0.00,0.00,0.00,5.49,4.19,3.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.61,0.00,0.00,0.00,0.00
Puerco Liso *,1 Kilogramos,7.80,0.00,12.72,12.72,5.85,5.99,5.99,0.00,5.97,5.95,5.95,5.99,5.99,5.99,5.93,5.33,5.85,0.00,0.00,5.85,5.85,7.80,5.85,5.99,5.99,5.59,5.59,5.85,5.85,5.99,5.85,5.99,5.97,5.45,5.57,5.95,5.95,5.99,5.47,5.84,5.86,5.58,5.59,5.59,0.00,5.99,5.99,0.00,5.56,5.93,0.00,0.00,0.00,0.00,0.00,7.17,0.00,0.00,0.00,0.00,7.72,0.00,7.17,0.00,7.72,0.00,6.61,6.61,0.00,0.00,0.00,7.50,0.00,0.00,7.72,6.61,6.28,0.00,0.00,8.27,6.28,6.28,0.00,6.50,0.00,7.17,0.00,5.40,5.05,5.62
Pulpa Negra *,1 Kilogramos,8.89,8.05,13.87,13.87,8.05,7.69,7.69,7.69,7.12,7.65,7.65,7.69,7.69,7.69,6.70,6.70,8.05,7.69,7.69,8.05,7.69,8.89,8.05,7.69,7.69,7.64,7.65,8.05,8.05,7.69,7.69,7.69,7.67,7.62,7.61,7.65,7.65,7.69,7.65,8.05,7.69,7.76,7.75,7.75,8.05,7.69,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.49,0.00,0.00,8.82,0.00,0.00,8.27,7.72,0.00,8.60,0.00,0.00,8.27,0.00,0.00,7.72,0.00,8.16,7.72,8.71,0.00,8.36,0.00,0.00,0.00,8.16,7.72,0.00,7.72,0.00,0.00,0.00,6.94,6.59,8.26
Muslo de Pollo con Piel *,1 Kilogramos,4.53,0.00,4.38,4.38,3.60,3.99,3.99,3.99,3.97,3.89,3.99,3.99,0.00,0.00,3.71,3.71,3.99,3.99,3.99,3.60,0.00,4.53,3.86,3.99,3.99,0.00,3.89,3.60,3.75,3.99,4.49,3.99,3.58,3.97,3.87,3.89,3.89,4.49,3.95,3.59,3.97,3.95,3.99,3.99,3.73,3.99,3.99,3.99,3.97,3.97,3.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.86,2.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.86,0.00,0.00,0.00,0.00,3.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.95,2.84,4.19
Pechuga de Pollo con Piel *,1 Kilogramos,4.11,4.59,4.25,4.25,2.98,2.99,2.99,3.25,2.96,2.95,2.89,2.99,2.99,2.99,2.74,2.74,2.98,2.99,2.99,2.98,2.99,4.11,2.98,2.99,2.99,0.00,2.54,2.98,2.98,2.99,2.99,2.99,2.96,2.97,2.76,2.95,2.95,2.99,3.00,2.98,3.26,2.99,2.85,2.85,2.98,2.99,2.99,2.99,2.83,2.71,2.85,0.00,0.00,0.00,0.00,3.86,0.00,0.00,4.08,0.00,3.86,3.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.31,3.53,4.08,0.00,4.08,3.31,0.00,0.00,0.00,3.31,3.31,3.20,0.00,3.86,3.64,3.31,2.98,3.28,3.20,3.19
Pollo Entero s/plumas *,1 Kilogramos,3.14,2.60,2.85,2.85,2.53,2.60,2.60,2.60,2.51,2.49,2.59,2.60,2.60,2.60,2.52,2.52,2.53,2.60,2.60,2.53,2.60,3.20,2.53,2.60,2.60,0.00,2.59,2.53,2.47,2.60,2.60,2.60,2.51,2.58,2.57,2.55,2.55,2.60,0.00,2.51,2.60,0.00,2.59,2.59,2.53,2.60,2.60,2.60,2.57,2.43,2.57,0.00,0.00,0.00,0.00,2.60,0.00,0.00,2.60,0.00,2.60,2.60,2.54,0.00,2.60,2.60,2.60,2.60,0.00,0.00,2.60,2.60,2.60,2.60,2.60,2.60,2.54,0.00,0.00,2.54,2.54,2.60,0.00,2.60,2.60,2.60,2.60,2.54,0.00,1.96
Pescado Corvina *,1 Kilogramos,0.00,0.00,0.00,8.85,0.00,0.00,0.00,0.00,8.88,7.05,6.95,0.00,0.00,8.39,0.00,8.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.99,6.95,0.00,0.00,8.39,8.39,0.00,0.00,6.61,4.97,6.95,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,8.40,0.00,0.00,7.17,0.00,6.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
