Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Babilla (Carne de res de Primera) *,1 Kilogramos,,6.55,6.55,6.55,6.55,,,,6.53,6.55,6.13,,,6.55,,6.11,6.55,,,,6.55,,6.55,6.55,,,6.55,6.55,6.55,,6.55,,6.53,6.53,5.90,6.55,,,,,6.55,6.55,,6.55,6.55,6.55,,,6.55,5.96,6.50,,,,,,,,,,,6.55,,,,,,,,,,,,,,,,6.33,,,,,,,,,,,6.33,6.06,6.54
Bistec de Cinta *,1 Kilogramos,4.96,,5.62,5.62,5.62,5.62,,,5.60,5.62,4.75,5.62,5.62,5.62,4.16,4.73,,,5.62,,5.52,4.96,,5.62,5.62,5.59,,5.62,5.62,5.19,5.62,,5.60,5.29,5.57,,5.62,5.62,,5.45,5.62,5.18,5.59,,5.62,5.62,5.62,,5.62,5.57,5.52,5.57,,,,,,,,,,5.40,,,,,,,,,,,,,,5.62,5.84,5.40,,,5.62,5.62,,,,5.40,,,5.40,,5.62
Carne Molida de Primera *,1 Kilogramos,,,4.74,4.74,,,4.74,4.74,,,,4.74,4.74,4.74,,,,4.74,4.74,4.74,4.74,,,4.74,4.74,4.58,,4.74,,4.74,,4.74,,4.72,,,,,4.74,4.54,4.74,4.74,4.58,,,,4.74,4.74,4.74,,,,,,,,4.74,,,,,,,,,,,,4.47,,,,,,,,,4.74,,,,,,,,,4.74,,,4.74,4.41
Carne para Sopa (Costilla) *,1 Kilogramos,4.70,4.41,,,,,,,4.83,,,,4.45,4.45,3.70,4.83,4.41,4.45,4.49,,,,,4.45,4.45,4.73,4.75,4.41,,4.45,3.56,4.45,4.43,4.43,4.71,,,,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.51,,,,,,,5.51,,,,,,
Puerco Liso *,1 Kilogramos,7.80,,,,,,,5.75,4.94,5.95,5.95,5.99,5.75,,5.93,5.93,,5.75,,,,7.80,,,6.35,5.65,5.95,,,5.75,5.75,6.35,4.97,5.41,5.55,4.96,5.95,,,5.58,,,5.54,5.75,5.75,6.83,5.75,,5.75,5.18,5.62,5.18,,,,,7.17,,,7.17,,7.72,,,,7.75,,,6.61,,,,6.06,6.61,7.17,7.71,,6.28,,,5.51,5.51,6.28,,,7.17,7.17,7.39,5.40,5.93,5.62
Pulpa Negra *,1 Kilogramos,8.89,,13.18,,8.05,7.69,7.69,7.69,7.13,7.95,6.99,7.69,7.69,7.69,6.97,6.97,8.05,7.69,7.69,8.05,,,8.05,7.69,7.69,7.65,7.95,8.05,8.05,7.69,7.69,7.69,7.13,6.55,7.62,6.59,6.95,8.05,,6.75,8.05,7.69,7.55,7.95,7.65,7.16,7.69,7.69,7.69,7.53,,7.53,,,,,8.49,8.82,,8.82,,8.82,,,,,,8.27,8.27,,,7.72,,8.16,7.71,8.71,8.27,8.49,8.49,,7.72,,8.05,,,8.71,,,6.94,6.59,8.26
Muslo de Pollo con Piel *,1 Kilogramos,,,4.38,4.38,3.60,3.99,3.99,3.99,3.58,3.89,3.85,3.99,,3.99,3.83,3.83,3.60,3.99,,3.60,,4.40,,3.99,,3.59,,3.60,3.99,,3.99,3.99,3.58,3.83,3.57,3.89,,3.60,3.99,,3.59,3.99,3.59,,3.39,3.60,3.99,3.99,3.99,3.57,,3.57,,,,,,,,,,3.86,,,,,,,,,,2.98,,,,4.08,3.31,,,,3.86,,,,3.86,3.86,,,3.28,3.75,4.19
Pechuga de Pollo con Piel *,1 Kilogramos,4.11,,4.25,4.25,,2.99,2.99,3.25,2.63,2.99,2.99,2.99,2.99,2.99,2.52,2.52,3.30,2.99,2.99,3.30,2.99,4.11,3.30,2.99,3.25,2.61,2.99,3.30,3.30,2.99,2.99,2.99,2.97,2.97,,2.99,2.65,3.30,2.99,3.20,,2.98,2.62,2.99,2.69,3.30,2.99,2.99,2.99,2.60,2.79,2.60,,,,,3.86,3.86,,,,3.86,,,,,,,,,,3.31,,,,4.08,3.31,,,,2.76,2.98,3.20,,2.98,3.64,3.31,2.98,2.76,,3.19
Pollo Entero s/plumas *,1 Kilogramos,2.93,,2.73,2.73,2.27,2.49,2.49,2.49,2.25,2.29,2.35,2.49,2.49,2.60,2.24,2.33,2.27,2.49,2.49,2.27,2.49,2.93,2.27,2.60,2.60,2.26,2.29,2.27,2.27,2.49,2.49,2.49,2.25,2.39,2.24,2.35,2.25,2.20,2.60,2.47,2.27,2.49,2.14,2.19,2.19,2.20,2.49,2.49,2.49,2.12,2.17,2.12,,,,,2.60,2.60,,,,2.60,,2.54,,2.60,,2.43,2.60,,,2.60,2.60,2.60,2.20,2.60,2.46,2.18,2.60,,2.20,2.20,2.31,,2.31,2.60,2.20,2.43,2.18,2.18,2.07
Pescado Corvina *,1 Kilogramos,,,9.10,9.10,,,,,,,,8.39,,,,,,,,,,,,,8.39,4.99,,,,,8.39,8.39,,8.88,4.97,,,,,,,,4.05,6.95,6.95,,8.39,,8.39,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
