Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES,,,,,
Babilla (Carne de res de Primera) *,1 Kilogramos,,6.55,6.55,6.55,6.55,,,,6.53,6.55,6.13,,6.55,,6.03,6.11,,,,6.55,,,,6.55,6.55,,6.55,6.55,6.55,,6.55,,6.53,6.53,5.96,,,6.55,,,,6.55,5.98,5.89,,6.55,,6.55,6.55,5.96,6.50,5.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,6.06,6.54,,,,,
Bistec de Cinta *,1 Kilogramos,4.96,5.62,5.62,5.62,5.62,5.62,5.62,,5.60,,4.75,5.62,5.62,5.62,4.73,4.73,,,,5.62,5.52,4.96,,5.62,5.62,,,5.62,5.62,5.19,5.12,5.62,5.60,5.29,5.57,,5.62,,,5.45,5.62,5.18,5.62,5.62,5.62,,5.62,5.62,,5.57,,5.57,,,,,,,,,,,,,,,,,,,,,,5.62,,,,5.62,,,,5.62,,,,,,,,4.74,5.62,,,,,
Carne Molida de Primera *,1 Kilogramos,,,4.74,4.74,4.74,4.74,4.74,4.74,,,,4.74,4.74,4.74,,,,,4.74,4.74,4.74,,,,,4.58,,4.74,4.74,4.74,4.74,4.74,,4.72,,4.71,4.74,4.74,4.74,4.54,4.74,4.74,4.58,,,,4.74,,4.74,,,,,,,,4.74,,,,,,,,,4.74,,,4.74,,,,,,,,,4.74,,,4.63,,,,4.74,,,,4.39,,4.41,,,,,
Carne para Sopa (Costilla) *,1 Kilogramos,,,,,,4.45,,4.45,4.05,3.89,4.95,4.45,,4.45,3.70,3.70,4.30,,,4.36,,,,3.83,3.83,4.65,4.75,4.41,,4.45,3.56,4.40,4.05,4.32,4.63,,,,4.45,,,,5.75,,4.45,,4.45,4.45,,,,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,4.96,,,,,,,5.51,4.96,,,,,5.84,,,,,
Puerco Liso *,1 Kilogramos,7.80,,12.24,12.46,,6.35,6.35,,5.73,,5.95,,5.75,5.75,5.87,5.87,,,,5.51,,,6.83,5.75,5.75,5.79,5.95,,,6.35,,6.35,4.97,5.41,5.83,5.95,5.95,,5.75,5.58,,5.80,5.59,,5.75,,5.75,5.75,5.75,,5.62,5.87,,,,,7.17,,,6.61,,,,,,7.72,,6.61,,,,,6.06,6.61,7.17,7.72,,6.28,,,,5.51,,,6.50,7.17,7.17,7.39,5.40,5.93,5.62,,,,,
Pulpa Negra *,1 Kilogramos,8.89,6.94,13.18,13.18,6.94,6.94,7.65,,6.92,7.95,7.95,6.94,6.94,6.94,6.13,6.13,6.94,,6.94,6.94,7.69,8.89,6.94,6.94,6.94,7.65,7.95,6.94,8.05,6.49,7.69,7.69,6.92,6.55,6.92,,6.95,6.94,6.94,6.99,8.05,7.69,7.58,7.95,7.95,6.94,6.94,6.94,7.69,6.92,7.38,6.92,,,,,8.49,,,8.82,,8.82,,,,8.60,7.17,8.71,,,,7.72,,8.16,7.72,8.71,8.27,8.49,8.49,,8.27,8.05,8.05,,7.72,,8.27,,6.59,7.16,8.26,,,,,
Muslo de Pollo con Piel *,1 Kilogramos,,,4.28,4.39,3.60,3.99,3.99,3.99,3.58,,3.85,,3.99,3.99,3.83,3.83,,3.99,,3.60,,4.40,3.60,,,3.59,,3.84,3.99,,3.99,3.99,3.58,3.87,3.57,,,,,,3.64,3.99,3.73,,,3.60,3.99,3.99,3.99,3.58,3.50,3.58,,,,,,,,4.41,,3.86,,,,,,3.31,,,,,,,,4.08,3.31,2.98,,,3.86,3.86,,,3.86,3.86,,,3.28,3.75,4.19,,,,,
Pechuga de Pollo con Piel *,1 Kilogramos,4.11,,4.25,4.25,3.30,2.99,2.99,2.99,2.97,3.09,2.99,2.99,2.99,2.99,2.97,2.97,3.30,2.99,2.99,3.30,2.99,4.11,3.30,,,2.63,2.99,3.30,3.30,2.99,2.99,2.99,2.97,2.90,2.61,2.99,2.99,3.30,2.99,,3.31,2.98,2.65,2.69,2.69,,2.99,2.99,2.99,2.63,,2.63,,,,,3.86,,,,,3.86,,,,,,3.31,,,,,,3.86,,4.08,3.31,2.76,,,3.31,2.98,3.28,,2.98,,3.31,2.98,2.76,2.84,3.19,,,,,
Pollo Entero s/plumas *,1 Kilogramos,2.93,,2.73,2.73,2.27,2.60,2.60,2.60,2.25,2.29,2.35,2.60,2.60,2.60,2.33,2.33,,2.60,2.60,2.27,2.60,,2.27,,,2.28,2.35,2.27,2.27,2.60,2.60,2.60,2.25,2.41,2.26,2.35,2.25,,2.60,2.58,2.27,2.60,2.17,,2.19,2.20,2.60,2.60,2.60,2.15,2.12,2.15,,,,,,2.60,,2.60,,2.60,,2.54,,2.60,2.60,2.20,2.60,,,,2.54,2.54,2.20,2.60,2.43,2.09,,,2.20,2.20,2.31,,2.09,2.54,2.20,2.43,2.18,2.09,2.47,,,,,
Pescado Corvina *,1 Kilogramos,,,,9.10,7.81,8.39,,8.39,8.88,,6.95,8.39,,,8.88,8.88,,,,7.81,,,7.81,8.39,8.39,4.99,6.95,,,,8.39,8.39,8.37,8.14,4.98,6.95,,,,,,,4.05,,6.95,,8.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.68,0.69,0.74,0.74,0.69,0.39,0.45,0.39,0.50,0.65,0.55,0.39,0.39,0.39,0.50,0.48,,0.42,0.42,0.69,0.47,0.68,0.69,0.39,0.39,0.43,0.55,0.68,0.65,0.42,0.49,0.39,0.50,0.43,0.49,0.55,0.55,0.75,0.49,0.52,0.65,0.74,0.43,0.49,0.65,,0.39,,0.72,0.37,0.45,0.37,0.85,,0.95,0.85,0.85,,0.95,0.55,0.85,0.75,0.85,0.75,0.80,0.80,0.75,0.80,0.85,0.80,,0.85,0.75,0.85,0.85,0.65,,0.50,0.75,0.85,0.85,0.65,0.50,0.85,0.49,0.80,0.55,0.75,,0.45,,,,,,
Tuna en Agua *,142 Gramos,,1.20,1.70,1.19,1.55,1.15,1.29,1.15,1.76,,1.59,1.15,1.59,1.15,1.15,1.05,,,1.15,1.55,1.15,1.15,1.29,1.20,1.20,1.56,1.45,1.65,,1.15,1.15,1.15,1.03,1.51,1.54,1.57,1.57,,1.15,,1.25,1.20,1.56,,1.45,1.25,1.20,1.20,0.99,1.19,1.47,1.57,,,1.85,,1.50,,1.85,1.65,,,,1.55,,1.65,,,,,,,1.35,,,,1.65,,,,,,1.65,1.75,1.50,1.25,1.35,1.25,1.15,1.15,1.55,,,,,
Jam¢n Cocido Empacado 4x4 *,1 Kilogramos,7.72,7.91,,,6.50,5.40,5.49,5.49,6.46,8.27,6.50,7.91,5.49,7.91,6.50,7.87,,7.91,7.91,7.91,7.91,7.72,7.91,7.87,7.87,5.34,8.27,7.91,7.91,,5.49,5.49,8.25,7.52,7.72,,8.27,6.81,5.49,,,,7.78,,,,,,,,7.78,7.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,,,,8.40,,4.96,4.96,4.96,8.31,,8.38,4.96,8.36,,,8.33,,,,,8.36,,,,8.36,4.87,8.38,,,8.36,4.96,4.96,,8.07,8.05,,,,4.96,,,,6.37,,,,,,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,7.17,3.42,7.67,7.61,3.42,4.17,4.17,4.19,3.37,3.42,3.42,4.17,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,,3.42,,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.37,3.31,3.37,7.61,3.42,,3.42,7.61,,7.61,3.42,3.42,3.42,3.42,3.42,,3.42,3.42,3.37,3.42,,,8.49,,,7.17,,7.72,,,,,,,,,,,,,,,,7.17,4.41,,,,,,,,7.72,,,7.61,3.42,3.42,,,,,,
Arroz de Primera *,1 Kilogramos,0.88,,,0.88,,0.88,0.88,0.88,0.86,,,0.88,0.88,,0.86,0.85,0.88,0.88,0.88,,0.88,0.88,,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.86,0.86,0.88,,,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.86,0.86,0.84,,,0.88,,0.88,0.88,0.88,0.88,,,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,,,,
Codito *,454 Gramos,0.91,0.85,0.95,0.88,0.58,0.79,0.79,0.79,0.76,0.75,0.75,0.79,0.79,0.79,0.77,0.76,0.85,0.79,0.79,0.58,0.79,0.89,0.62,0.79,0.79,0.82,0.75,0.58,0.58,0.79,0.73,0.79,0.74,0.77,0.60,0.82,0.82,0.85,0.79,0.82,0.58,0.79,0.83,0.58,0.58,0.62,0.79,0.79,0.79,0.54,0.75,0.54,1.00,1.00,0.95,1.00,1.00,0.95,0.95,0.95,0.90,,0.85,0.85,1.00,0.85,0.90,0.85,0.85,0.85,1.00,0.85,1.00,0.90,0.90,0.85,1.00,0.95,1.00,,0.85,0.90,0.85,0.95,0.85,,0.85,0.85,0.85,0.65,0.95,,,,,
Crema  de Ma°z *,300 Gramos,0.80,0.79,0.54,0.54,0.60,0.52,0.52,0.52,0.48,0.45,0.45,0.60,0.52,0.52,0.43,0.43,0.65,0.52,0.70,0.65,0.60,0.82,0.72,0.52,0.52,0.60,0.45,0.60,0.60,0.60,0.60,0.60,0.63,0.58,0.64,0.45,0.47,,0.60,,,0.70,0.69,0.45,0.70,0.65,0.71,,,0.43,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60,0.75,,,0.85,0.79,,,,,,
Hojuelas de Ma°z (corn flakes) cajeta *,300 Gramos,3.13,2.10,2.95,3.13,2.10,1.99,1.99,1.99,1.98,1.97,1.97,1.79,1.99,1.79,1.98,1.73,2.10,2.19,2.29,2.10,2.29,2.31,2.10,1.79,1.79,2.38,1.89,2.10,2.10,2.89,1.79,1.79,1.73,1.98,1.98,1.95,1.95,,1.99,3.15,3.05,3.08,,3.09,2.98,,,,,3.03,1.96,1.98,,,,,,2.95,,,,,,,,,,2.75,,,,,,,,2.45,,,,,,,,,3.95,3.95,,,,,,,,,,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.83,0.80,0.95,0.85,0.65,0.63,0.65,0.63,0.61,0.75,0.58,0.63,0.63,0.63,0.61,0.60,0.80,0.63,0.63,0.65,0.63,0.81,0.62,0.63,0.63,0.56,0.75,0.65,0.65,0.63,0.63,0.63,0.61,0.54,0.58,0.58,0.75,0.58,0.63,0.46,0.65,,0.56,0.58,0.58,0.62,0.63,0.63,0.65,0.54,0.53,0.61,1.00,1.00,0.95,1.00,0.85,0.85,,0.85,0.90,0.85,0.85,0.85,0.85,0.85,0.90,0.85,0.75,0.85,0.75,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.90,,0.75,0.59,0.75,0.90,0.85,0.85,0.85,0.85,0.53,,0.95,,,,,
Pan de Michita *,1 Kilogramos,,,,,,2.49,2.49,,,,,,2.45,,3.00,,,,,2.75,,,,,,,,,,,,,3.00,,3.00,,,,,,2.75,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,,,,3.60,,,,,,,
Pan Molde *,500 Gramos,,,0.92,0.92,,0.92,0.92,,0.90,,0.91,0.92,,0.92,0.87,0.89,,,0.92,0.92,0.92,,,,0.92,0.89,0.91,0.92,0.92,0.92,0.92,0.92,0.90,0.86,0.90,0.92,0.91,,,,,,0.89,,0.91,0.92,,0.92,,0.87,0.88,0.87,,,,,,,,,,,,,,,,0.92,,,,,,,0.92,,,0.92,,,0.92,0.92,,,,,,,0.92,0.92,0.92,,,,,
Tortilla de Ma°z *,10 Unidades,1.44,1.19,1.45,1.45,1.19,1.15,1.25,1.15,1.34,0.99,0.99,1.05,1.05,1.05,0.89,0.94,1.18,1.15,,1.13,1.15,1.10,,1.15,1.15,0.89,1.10,1.13,1.19,1.15,1.05,1.05,1.34,1.10,0.89,1.15,0.98,1.19,1.15,1.13,1.13,,0.79,0.95,0.79,0.95,1.05,1.05,1.05,0.81,,1.11,1.15,,1.25,,1.00,1.00,1.00,1.00,1.10,1.00,1.00,1.00,1.25,1.00,1.10,1.00,1.00,,,1.00,1.15,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,,1.00,1.00,1.00,1.10,,0.99,0.95,,,,,
