Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Babilla (Carne de res de Primera) *,1 Kilogramos,,6.55,6.55,6.55,6.55,,,,6.53,,,,,,,,6.55,,,6.55,,,6.55,6.55,,,6.39,6.55,,,6.55,6.55,6.53,6.53,6.37,,,,,6.55,,6.37,,,6.55,,,6.55,,5.84,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,,,,,,,,,,,6.33,,6.54
Bistec de Cinta *,1 Kilogramos,5.62,5.62,5.62,5.62,,,,5.62,5.60,4.96,4.96,5.62,5.62,5.62,5.57,5.57,5.62,5.62,5.62,5.62,,,5.62,5.62,,5.57,4.96,5.62,5.62,5.62,5.62,,5.24,5.55,4.94,5.59,5.59,,5.58,5.60,5.62,5.57,4.96,4.96,,,,5.62,5.55,5.44,5.56,,,,,,,,,,5.29,,,,,,,,,,,,,,5.62,,5.40,5.62,,,5.62,,,,,,,5.62,,5.62
Carne Molida de Primera *,1 Kilogramos,4.74, ,4.74,4.74,,4.74,4.74,4.74,,4.74,,,4.74,4.74,,,4.74,4.74,4.74,,4.74,4.74,4.74,4.29,4.74,4.73,4.74,4.74,,4.74,4.74,4.74,,4.72,,4.74,4.74,4.74,4.74,,4.74,4.73,,4.74,,4.74,4.75,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.74,,,,,,,,,4.74,,4.61,4.74,
Carne para Sopa (Costilla) *,1 Kilogramos,4.70,,6.16,6.16,,,,,,4.75,,4.45,4.45,4.45,3.97,3.70,,,,,,,,,,4.75,4.75,,,4.45,3.99,3.99,3.97,4.93,4.73,4.75,4.95,3.99,4.96,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.51,,,,3.64,,,,,4.41,,,2.76,
Puerco Liso *,1 Kilogramos,7.80,,15.23,15.23,5.85,,5.99,,,5.95,5.95,5.99,5.99,,,,5.85,5.99,5.99,,,7.80,,5.99,,5.59,5.59,,5.85,5.99,5.85,,5.97,5.45,5.57,5.06,,5.99,5.47,,5.86,5.59,,5.06,,5.99,5.99,5.99,,,,,,,,6.61,,,,,7.72,6.61,,,7.72,,,6.61,,,,,6.61,7.17,,,6.28,,,5.51,6.28,6.28,,6.50,,,,4.83,5.05,5.62
Pulpa Negra *,1 Kilogramos,8.89,8.05,13.87,13.87,8.05,7.69,,7.69,7.66,7.65,7.65,7.69,7.69,7.69,7.62,7.62,8.05,7.69,7.69,8.05,7.69,8.89,8.05,7.69,7.69,7.64,7.65,8.05,8.05,7.69,7.69,7.69,7.67,7.43,7.61,7.65,7.75,7.69,7.65,,,7.61,7.65,,,7.69,7.69,7.69,7.58,6.79,7.58,,,,,,8.82,,,,8.82,8.27,,,8.60,,8.71,8.27,,,7.72,,8.16,,8.71,,8.38,,,8.27,8.16,7.72,,7.72,,,,,6.59,8.26
Muslo de Pollo con Piel *,1 Kilogramos,4.53,,4.38,4.38,3.60,3.99,,3.99,3.97,3.89,3.99,3.99,3.99,3.99,3.96,3.93,3.95,3.99,3.99,3.60,3.99,4.53,3.60,3.99,3.99,3.75,3.89,3.60,3.75,3.99,3.99,3.99,3.56,3.73,3.73,3.89,3.89,3.70,,,4.39,3.89,2.59,3.99,,3.99,3.99,3.99,3.87,3.97,3.87,,,,,,,,,,3.86,,,,,,3.31,,,,,,,,3.86,,,,,3.31,3.86,,,4.08,,,3.86,3.95,3.73,4.19
Pechuga de Pollo con Piel *,1 Kilogramos,4.11,,4.25,4.25,2.98,2.99,2.99,2.99,2.96,2.89,2.89,2.99,2.99,2.99,2.60,2.60,2.98,2.99,2.99,2.98,2.99,4.11,2.98,2.99,2.99,2.75,2.79,2.98,2.98,2.99,2.99,2.99,2.97,2.73,2.73,2.95,,2.99,2.76,,3.28,2.83,2.85,2.85,2.98,2.99,,2.99,2.81,2.64,2.81,,,,,3.31,,,,,3.86,3.31,,,,,3.31,,,,,,,,4.08,,,,,3.31,3.31,3.20,,4.08,,,2.98,3.28,3.20,3.19
Pollo Entero s/plumas *,1 Kilogramos,3.14,2.60,2.85,2.85,2.53,,2.60,2.60,2.51,2.55,2.59,2.60,2.60,2.60,2.47,2.57,2.47,2.60,2.60,2.53,2.89,3.13,2.53,2.60,2.60,2.59,2.59,2.53,2.47,2.60,2.60,2.60,2.51,2.57,2.57,2.49,2.59,2.45,,,2.60,,2.55,,2.53,2.60,2.60,2.60,2.46,2.51,2.51,,,,,2.60,,,2.60,,2.54,2.60,2.54,,2.54,2.60,,2.60,,,,,2.60,2.60,2.60,2.60,2.60,2.60,,2.54,2.54,2.60,,2.60,2.60,2.60,2.60,2.54,2.54,1.96
Pescado Corvina *,1 Kilogramos,,,8.85,8.85,,,,8.39,8.85,7.05,6.95,,,8.39,,8.88,,,8.39,,,,,,,,6.95,,,8.39,8.39,8.39,,8.14,6.93,6.95,,,,,,4.99,,7.35,,,,8.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
