Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/ BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Babilla (Carne de res de Primera) *,1 Kilogramos,,6.55,6.55,6.55,6.55,,,,6.53,6.55,6.55,,6.55,6.55,6.03,6.03,,,6.55,6.55,,,6.55,6.55,,,6.55,6.55,6.55,,6.55,6.55,6.55,6.53,6.53,6.55,6.55,,,6.55,6.55,6.54,,6.55,,,6.55,5.96,6.52,6.47,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,6.06,6.54
Bistec de Cinta *,1 Kilogramos,5.62,4.74,5.62,5.62,4.74,5.19,,5.19,,5.59,5.59,5.19,5.62,5.19,4.81,5.17,5.62,,5.19,5.62,5.62,5.62,,5.19,5.39,,5.50,5.62,4.74,5.62,5.19,,6.07,5.55,5.48,5.59,5.59,5.19,5.57,5.62,5.62,5.58,5.59,,,5.19,5.19,5.19,5.17,5.44,5.17,,,,,,,,,,5.40,,,,,,,,,,,,,,,,5.62,,,,5.62,,,,,5.45,,4.96,4.74,5.62
Carne Molida de Primera *,1 Kilogramos,,4.74,4.74,4.74,,4.74,4.74,4.74,,4.74,4.74,4.74,4.74,4.74,,,,4.16,,4.74,4.16,,,4.74,4.74,,4.74,4.74,,4.74,4.16,4.74,,,,4.74,4.74,4.16,4.73,4.74,4.74,4.73,,4.74,,4.74,4.74,4.74,,,,,,,,4.74,,,,,,,,,,,,,,,,,,,,,4.74,,,,,,,,,4.74,,4.61,4.74,4.41
Carne para Sopa (Costilla) *,1 Kilogramos,,,6.16,6.16,4.96,4.45,4.45,,,3.52,,4.45,4.45,4.45,3.97,,,,,4.98,,,,,,,,,,,4.45,,,4.93,4.73,4.50,4.85,,4.95,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.96,,,,,,,,,4.41,,,,
Puerco Liso *,1 Kilogramos,7.80,6.83,15.48,13.00,6.83,,5.99,,,5.95,5.95,5.99,,,5.03,5.03,,,,6.83,,7.80,,5.99,5.99,5.94,,6.83,6.83,5.99,5.99,,5.60,,5.92,5.95,5.95,,5.47,,5.49,5.94,5.95,5.95,,5.99,,5.99,5.92,,,,,,,7.17,,,,,,6.61,,,7.72,,6.61,,,,,7.50,6.61,7.17,,5.51,6.28,,,6.06,,,,,7.17,,,4.96,5.05,5.62
Pulpa Negra,1 Kilogramos,8.89,8.05,13.87,13.87,8.05,7.69,7.69,6.94,7.67,7.95,7.95,7.69,7.69,7.69,6.97,6.97,8.05,7.69,7.69,8.05,7.69,8.89,8.05,7.69,7.69,7.85,,8.05,8.05,7.69,7.69,7.69,7.67,7.62,7.36,7.95,7.95,7.69,7.64,8.05,7.69,7.39,7.95,7.95,8.05,7.69,7.69,7.69,,7.46,7.37,,,,,8.49,,,8.82,,8.82,8.27,,,8.60,8.38,8.71,,,,,,8.16,,8.71,,8.36,,,8.05,8.16,8.05,,,,,,6.94,6.59,8.26
Muslo de Pollo con Piel *,1 Kilogramos,4.53,,4.38,4.38,4.18,3.99,3.99,3.99,3.97,,3.89,,3.99,3.99,3.87,3.87,4.18,3.99,3.99,4.18,3.99,,,3.99,3.99,3.88,3.89,4.18,,3.99,3.99,3.99,3.87,3.93,3.86,3.89,3.79,3.70,3.95,3.53,3.99,,3.95,3.95,4.18,3.99,3.99,3.99,3.93,3.89,3.93,,,,,,,,4.41,,3.86,3.31,,,,,,,,,,,,,4.08,,,,,,,,,,,,,3.95,3.51,4.19
Pechuga de Pollo con Piel *,1 Kilogramos,4.11,,4.25,4.25,4.55,2.99,2.99,2.99,2.97,2.98,2.95,2.99,2.99,2.99,2.96,2.96,3.64,2.99,2.99,3.64,2.99,,3.64,2.99,2.99,2.78,2.85,3.64,3.64,2.99,2.99,2.99,2.97,2.97,2.76,2.97,2.97,2.99,,3.64,3.25,2.94,2.95,2.95,3.42,2.99,2.99,2.99,2.92,2.77,2.92,,,,,3.86,,,4.08,,3.86,3.31,,,,,,,,,,,,,4.08,3.31,,,,,3.31,3.20,,3.86,3.86,3.31,,3.51,3.20,3.19
Pollo Entero s/plumas *,1 Kilogramos,3.17,2.60,2.85,2.85,2.53,2.60,2.60,2.60,2.51,2.59,2.58,2.60,2.60,2.60,2.52,2.52,2.53,,2.60,2.53,2.60,3.20,2.60,2.60,,2.59,,2.53,2.50,2.60,2.60,2.60,2.57,2.57,2.57,2.55,2.55,2.60,2.59,2.53,2.60,2.59,2.59,2.59,2.53,2.60,2.60,2.60,2.51,2.46,2.51,,,,,2.60,,,2.60,,2.60,2.60,2.54,,2.60,2.60,2.60,2.60,,,2.60,2.60,2.60,2.60,2.60,2.60,2.47,,,2.54,2.43,2.60,,2.60,2.60,2.60,2.60,2.40,2.54,1.96
Pescado Corvina *,1 Kilogramos,,,9.55,9.55,,,,,,,,,,,,6.65,,,,,,,,,,,,,,,,,,,,6.95,,,,,,,,,,,,,7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
