Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,M/S CD,ABA EL CANGREJO/ BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,M/S JANET - BETHANIA,ABT. ELENA - BETHANIA,M/S ESTELA - BETHANIA,M/S EL PROGRESO - PARQUE LEFEVRE,M/S EL CHEVERE - PARQUE LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,M/S MAGIC PAN,ABA. LOS AMIGOS,M/S PUEBLO NUEVO,M/S ROSITA,M/S CHONSITO - PUEBLO NUEVO,M/S FUENTE DE ORO - SAN FCO,M/S ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,M/S PAN,ABT. LE‡N-SAN MIGUELITO,M/S FLORECIENTE,ABT. DENIA-SAN MIGUELITO,M/S - JIMMY LIAO,M/S - EXCELENTE -JUAN D÷AZ,M/S - JUAN D÷AZ,M/S JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,M/S PLAZA AMADOR,ABT EDITH- SANTA ANA,M/S EXPRESO-CALIDONIA,M/S ROY-CALIDONIA,M/S EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABA. BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Babilla (Carne de res de Primera) *,1 Kilogramos,,6.55,6.55,,6.55,,,,,,,,6.55,,5.93,5.93,6.55,,,6.55,,,6.55,6.55,6.55,,6.39,6.55,6.55,,,6.55,,,6.37,,,,,6.55,,6.54,6.55,,6.55,,6.55,5.96,6.52,6.47,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,6.05,6.54
Bistec de Cinta *,1 Kilogramos,5.62,,5.62,5.62,5.62,5.19,,5.62,5.17,,5.59,5.19,5.62,5.62,5.02,5.02,5.62,5.62,,5.62,5.19,5.62,5.62,5.62,5.62,,5.50,5.62,5.62,5.62,5.62,5.62,5.60,5.55,5.17,5.59,,,5.57,5.60,,,5.59,5.59,5.62,5.19,5.19,,5.17,5.44,5.17,,,,,,,,,,,,,,,,,,,,,,5.51,,5.62,,5.62,,,,5.62,,,5.62,,5.40,,4.96,4.73,5.62
Carne Molida de Primera *,1 Kilogramos,4.74,,4.74,4.74,,4.74,,4.74,,4.74,,4.74,4.74,4.74,,,,4.74,4.74,,4.74,4.74,4.74,4.74,4.74,4.73,4.74,4.74,4.74,4.74,4.74,4.74,,,,4.74,4.74,4.16,4.73,4.74,4.74,,,4.74,,4.74,4.29,4.74,,,,,,,,,,,,,4.41,,,,4.74,,,,,,,,,,,,,,,,,,,,,,,4.61,4.73,4.41
Carne para Sopa (Costilla) *,1 Kilogramos,4.70,,,6.16,,4.75,4.75,,3.97,,4.75,7.75,4.75,4.75,3.97,3.97,,4.75,,6.28,,5.58,,,3.99,4.98,4.75,,,,4.75,,,4.73,4.73,3.95,,4.75,,,4.96,,,,,,,,,,,,,,,,,,,,4.41,,,,,,4.96,,,,,,,,,,,,,,,,,5.51,,,,,,
Puerco Liso *,1 Kilogramos,7.80,6.83,15.48,15.48,6.83,5.99,,,5.97,,5.40,5.99,5.99,5.99,5.03,5.03,5.85,,5.99,5.85,5.85,7.80,6.83,5.99,5.99,5.59,5.59,5.83,,,,,5.97,5.45,5.57,5.49,5.95,,5.47,,5.85,5.69,5.40,5.40,6.83,5.99,5.99,5.99,5.38,5.45,5.68,,,,,6.06,,,7.17,,7.72,6.61,7.17,,7.72,,6.61,6.61,,,,,6.61,7.17,7.72,6.61,6.28,,,5.73,6.28,,,,7.17,7.17,,5.40,5.05,5.62
Pulpa Negra *,1 Kilogramos,8.89,7.71,13.87,13.87,7.71,7.69,7.69,7.69,6.92,7.95,7.04,7.69,7.69,7.69,,6.92,7.71,7.69,7.69,5.85,7.69,8.89,,7.69,7.69,7.69,7.95,8.05,7.71,7.69,7.69,7.69,6.93,7.62,6.93,7.95,7.75,7.69,7.64,8.05,6.94,7.85,7.95,7.95,,6.94,7.69,7.69,6.92,7.46,6.92,,,,,,,,,,8.82,8.27,,,8.49,8.38,8.71,8.27,,,7.72,,8.16,7.72,8.71,,8.27,8.71,,8.27,8.16,8.05,,7.72,,,,6.94,7.03,8.26
Muslo de Pollo con Piel *,1 Kilogramos,4.53,,4.38,,3.60,3.99,3.99,3.99,3.72,3.85,3.89,3.99,3.99,3.99,3.83,3.83,3.60,4.49,3.99,3.60,3.99,4.80,3.86,3.99,3.99,,3.89,3.60,3.64,3.99,3.99,3.99,3.58,3.93,3.87,3.89,3.79,,3.95,3.59,3.99,3.95,3.95,3.95,3.60,3.99,3.99,3.99,3.83,3.97,3.93,,,,,,,,,,3.86,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,3.95,2.84,4.19
Pechuga de Pollo con Piel *,1 Kilogramos,4.11,,4.25,4.25,2.98,2.90,2.99,2.99,2.96,2.85,2.89,2.99,2.99,2.99,2.97,2.97,2.98,2.99,2.99,2.98,2.99,3.30,2.98,2.99,2.99,2.78,2.85,2.98,2.98,2.99,2.99,2.99,,2.97,,2.95,2.97,2.99,2.99,2.98,3.25,2.99,2.95,2.95,2.98,2.99,2.99,2.99,2.83,2.77,2.93,,,,,,,,,,3.86,3.64,,,,,,,,,,,4.08,,4.08,3.31,,,,,3.31,,,3.86,3.64,3.20,,3.28,3.20,3.19
Pollo Entero s/plumas *,1 Kilogramos,3.14,2.60,2.85,2.85,2.60,,2.60,2.60,2.53,2.55,2.58,2.60,2.60,2.60,2.52,2.52,2.50,2.60,2.60,2.60,2.89,3.20,2.54,2.60,2.60,2.59,2.59,2.55,2.50,2.60,2.60,2.60,2.48,2.57,2.57,2.55,2.55,2.60,2.59,2.51,2.60,2.59,2.59,2.59,2.47,2.60,2.60,2.60,2.51,2.43,2.51,,,,,2.60,2.60,,2.60,,2.60,2.60,2.54,,,2.60,2.60,2.60,,,2.60,2.60,2.60,2.60,2.60,2.60,2.58,2.60,,2.60,2.49,2.60,,2.60,2.60,2.60,2.60,2.40,2.39,1.96
Pescado Corvina *,1 Kilogramos,,,8.85,8.85,,,,,,,,,,,,,,,,7.72,,,9.37,,,,,,,,,,,6.61,,6.95,,,,,,,,7.35,,,,,,,6.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
