Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/ BELLA VISTA,FRUTER÷A  MIMI,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER  EL PROGRESO ,MINISUPER  EL CHEVERE ,ABT. PANAMµ VIEJO,MINI SUPER MAGIC PAN,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO ,MIINIMARKET VICKY,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,M/S CALLE 16,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Babilla (Carne de res de Primera) *,1 Kilogramos,,7.94,6.61,,,,,,7.25,6.13,6.09,,,,6.07,,7.27,,,7.27,,,7.94,,,,6.45,7.94,,,,,6.53,6.53,,6.36,,,,7.27,,7.39,,6.55,7.94,,6.55,5.96,,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81,6.81,6.54
Bistec de Cinta *,1 Kilogramos,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.60,5.59,5.60,5.62,5.62,5.62,5.62,,5.62,,5.62,5.62,5.62,5.62,5.62,5.62,,5.58,5.46,5.62,5.62,5.62,5.62,,5.60,5.56,5.44,4.96,4.96,,5.54,5.62,5.62,,5.19,5.25,5.62,,,,5.23,,,,,,,,,,,5.29,,,,,,,,,,,,5.62,,5.62,,5.62,,5.62,,,,5.62,,,,,5.62,5.49,5.62
Carne Molida de Primera *,1 Kilogramos,4.74,,4.74,,,4.74,4.74,4.74,,4.74,,4.74,4.74,4.74,,,4.30,4.74,4.74,,4.74,,,4.74,4.74,4.73,4.74,4.30,,4.74,4.74,4.74,,,,,4.74,4.74,4.12,4.74,,4.73,,,,4.74,4.74,4.74,,,,,,,4.74,,,4.74,,4.41,,,4.74,,,,,,,,,,,,4.74,4.74,,,,,,,,,,,4.39,4.74,4.41
Carne para Sopa (Costilla) *,1 Kilogramos,,4.95,6.16,6.16,4.95,4.75,4.75,,4.43,4.73,5.25,,4.75,4.75,4.37,,,4.75,4.75,4.95,,,,4.75,,4.98,4.83,,,,4.75,4.74,4.98,4.73,4.73,4.63,4.63,4.75,,4.19,,,2.59,2.59,,,,,,,4.93,,,,,,,,,,,,,,,,,,,,,,4.41,4.96,,4.96,,,,,,,6.50,,,,,,
Puerco Liso *,1 Kilogramos,7.79,,15.48,15.48,5.95,5.85,5.49,,5.47,5.95,5.56,5.49,5.99,,5.38,,5.51,,,5.51,,7.79,5.51,5.49,,5.89,5.95,5.51,5.51,,5.49,5.49,5.47,5.47,5.47,5.79,5.79,,5.46,5.51,5.49,5.65,5.53,5.95,,5.49,5.49,5.49,5.47,5.47,,,,,7.17,,,7.72,,7.72,,,7.72,,6.61,,6.61,,,,,7.17,6.06,7.72,6.61,6.28,,5.51,6.50,6.85,,5.84,,7.17,7.17,,5.40,5.49,5.62
Pulpa Negra *,1 Kilogramos,8.37,8.38,13.87,11.80,8.38,7.99,7.99,7.99,7.67,7.95,7.93,7.99,7.99,7.99,7.91,,8.38,7.99,7.99,7.05,7.99,,8.38,7.99,7.99,7.79,7.73,7.05,8.38,7.99,7.99,7.99,7.03,7.71,7.71,7.95,7.95,7.99,,,,7.73,7.95,7.49,7.05,7.99,7.99,7.99,7.61,7.61,7.04,,,,8.49,,,8.82,,8.82,,,8.60,8.38,8.82,,8.27,,,7.72,,8.82,7.72,8.71,8.27,8.36,,7.72,8.71,8.05,,8.49,,,,,7.47,7.47,8.26
Muslo de Pollo con Piel *,1 Kilogramos,4.53,,4.38,4.38,3.99,4.35,4.35,4.35,3.97,3.47,3.59,4.35,4.35,4.35,3.40,3.53,3.97,4.35,4.35,3.97,4.35,4.79,4.26,4.35,4.32,,3.59,3.97,3.99,4.35,4.35,4.32,3.95,3.49,,3.79,3.79,,,3.95,4.35,,3.59,3.49,3.95,4.35,4.35,4.35,3.47,,3.51,,,,,,,4.41,,4.41,,,,,,,,,,,,,,,,,,4.19,,,,,,,,,3.95,3.51,4.19
Pechuga de Pollo con Piel *,1 Kilogramos,4.11,,3.83,3.83,2.98,3.32,3.32,3.32,3.26,2.95,2.95,3.32,3.32,3.32,2.93,2.93,2.98,3.32,3.32,2.98,3.32,3.73,2.98,3.32,,2.99,2.85,2.98,,3.32,3.32,3.32,2.96,2.87,2.87,2.54,2.54,3.28,3.37,2.98,,3.09,2.98,3.09,,3.32,3.32,3.28,3.07,,2.96,,,,3.86,,,4.08,,4.41,,,,,,,,,,,,4.08,,4.08,,,,,2.98,3.20,,,3.86,3.86,,2.98,3.51,2.84,4.25
Pollo Entero s/plumas *,1 Kilogramos,3.29,2.54,2.95,2.95,2.60,2.60,2.60,2.60,2.58,2.45,2.54,2.60,2.60,2.60,2.38,2.52,2.60,2.60,2.60,2.60,2.60,,2.60,2.60,,2.59,2.59,2.60,2.57,2.60,2.60,2.60,2.56,2.57,2.57,2.45,2.49,2.60,,2.58,,2.59,2.59,2.49,2.58,,2.45,2.60,2.47,2.42,2.37,,,,2.60,,,2.60,,2.60,,,2.60,2.60,2.60,,2.60,,,2.60,2.60,2.60,2.20,2.60,2.60,2.60,2.60,2.60,2.60,2.60,,2.60,2.60,,2.60,2.60,2.49,2.54,1.96
Pescado Corvina *,1 Kilogramos,,,9.85,9.85,,,,,,,9.95,,,,11.19,11.19,,,,,,,,,,6.69,6.95,,,,,,11.19,,11.19,9.95,,,,,,6.69,,7.89,,,,,7.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
