Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/ BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Babilla (Carne de res de Primera) *,1 Kilogramos,,6.94,6.55,6.55,7.94,,6.55,,6.53,,,,,6.55,6.03,,,,,6.55,,,6.61,6.61,,,6.55,6.55,6.55,,,,6.53,6.53,6.53,6.42,,,,6.55,,6.54,6.55,6.55,6.55,,6.55,,6.52,6.40,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,6.50,6.54
Bistec de Cinta *,1 Kilogramos,5.62,,5.62,5.62,5.62,5.62,,5.62,5.60,5.61,5.62,5.62,5.62,5.62,4.81,5.02,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.48,5.49,5.62,5.62,5.62,5.62,5.62,5.27,5.16,5.17,5.60,,5.20,5.18,,,5.35,5.39,5.39,5.62,,5.62,5.62,5.37,5.07,5.37,,,,,,,,,,5.29,,,,,,,,,,,,5.51,,,5.62,5.62,,,,5.62,,,,,5.62,,4.96,5.49,5.62
Carne Molida de Primera *,1 Kilogramos,,,,,,4.74,4.74,4.74,,4.74,,4.74,4.74,4.74,,,,4.74,4.74,4.74,4.74,,4.74,4.74,4.74,4.73,4.74,4.52,,,4.74,,,4.14,,,,4.74,4.73,,4.74,4.73,,4.74,,4.74,,4.74,,,,,,,,4.74,,,4.74,,4.41,,,,4.74,,4.74,,,,4.74,4.74,,,,,4.74,,,,,,,,,,,4.39,4.59,4.41
Carne para Sopa (Costilla) *,1 Kilogramos,,,,,,4.45,,,4.43,4.85,4.85,3.99,4.45,4.45,4.43,3.84,6.28,,4.45,,4.45,,6.28,,4.45,4.83,4.85,,,4.45,4.45,4.45,4.83,4.43,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,5.51,,,,,,,,,,,,,,,,4.96,,,,3.86,,,,,,,,,
Puerco Liso *,1 Kilogramos,7.80,,,,,5.99,5.99,,5.97,5.65,5.95,5.99,5.99,,5.47,5.47,,5.99,5.99,5.51,5.99,7.80,5.51,5.99,5.99,5.62,5.95,6.83,6.83,,,,5.49,5.47,5.60,5.75,5.52,6.00,5.49,,5.99,5.84,,5.65,,,5.99,5.99,,,,,,,,7.17,,,7.72,,7.72,,,,7.72,,6.61,6.61,,,,7.50,7.17,6.06,7.72,7.17,6.28,,,,6.50,,,,7.17,7.17,,5.93,5.49,5.62
Pulpa Negra *,1 Kilogramos,7.95,8.05,13.87,,7.94,7.69,7.69,7.69,7.66,7.95,7.95,7.69,7.69,7.69,6.70,6.97,8.09,7.69,7.69,8.05,7.69,7.95,8.09,7.69,7.69,7.49,7.65,8.05,8.05,7.69,7.69,7.69,7.67,7.65,7.47,7.69,7.75,7.69,7.67,8.05,7.69,7.69,7.95,7.89,8.05,7.69,7.69,7.69,7.64,7.41,7.64,,,,,8.49,,,8.82,,8.82,,,,8.60,8.27,8.71,,,,,8.38,8.16,7.72,8.71,8.26,8.36,,,,8.27,8.05,,,,8.27,,6.94,7.25,8.26
Muslo de Pollo con Piel *,1 Kilogramos,4.53,4.81,4.38,,4.18,3.99,2.89,3.99,3.97,3.59,3.98,3.99,3.99,3.99,3.47,3.47,4.18,3.99,3.99,4.18,4.49,4.80,4.18,3.99,3.99,3.88,3.95,4.08,,3.99,3.99,3.99,3.95,3.27,3.27,3.59,2.85,2.89,3.29,4.19,3.99,3.29,3.59,3.59,4.18,3.99,3.99,3.99,3.55,3.85,3.99,,,,,,,,,,4.41,,,,,,,,,,,,,,,3.86,,,,,,,,4.41,,,,3.95,3.51,4.19
Pechuga de Pollo con Piel *,1 Kilogramos,4.11,3.25,4.25,,4.55,2.99,2.99,2.99,2.97,2.98,2.54,2.99,2.99,2.99,2.96,2.96,3.09,2.99,2.99,4.55,3.28,3.68,3.09,2.99,2.99,2.84,2.85,,4.55,2.99,2.99,2.99,2.95,2.66,2.66,2.54,2.97,3.00,2.68,4.54,2.99,2.68,2.66,2.69,4.55,2.99,2.99,2.99,2.66,2.86,2.92,,,,,3.86,,,4.08,,4.41,,,,,,,,,,,2.76,4.08,,4.08,3.31,,,,,3.31,,,3.86,3.86,3.31,2.98,2.84,2.84,4.25
Pollo Entero s/plumas *,1 Kilogramos,3.17,2.60,2.85,2.85,2.55,2.60,2.60,2.60,2.51,2.59,2.59,2.60,2.60,2.60,1.97,2.38,2.53,2.60,2.60,2.53,2.60,3.17,2.53,2.60,2.60,2.48,2.59,2.55,2.59,2.60,2.60,2.60,2.48,2.57,2.46,2.49,2.59,2.60,2.59,2.54,2.60,2.37,2.39,2.39,2.53,2.60,2.60,2.60,2.46,2.12,2.38,,,,,2.60,,,2.60,,2.60,2.60,2.54,,2.60,2.60,2.60,2.60,,,2.60,2.60,2.60,2.20,2.60,2.60,2.54,,,,2.47,2.60,,2.43,2.60,2.60,2.43,2.09,2.16,1.96
Pescado Corvina *,1 Kilogramos,,,11.75,11.75,,,,,,,,,,,,,,,,,,,,,,6.69,,,,,,,,,,,,,,,,5.99,,,,,,,7.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
