Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,FRUTER÷A  MIMI,EL CANGREJO VIA ARGENTINA,ABT. JUAN CARLOS - BETHANIA,MINISUPER JANET BETHANIA,ABT. ELENA  BETHANIA,MINISUPER ESTELA BETHANIA,MS EL PROGRESO PARQUE LEFEVRE,MS EL CHEVERE  PAR. LEFEVRE,ABT. PANAMµ VIEJO PAR. LEFEVRE,MINI SUPER MAGIC PAN,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,M/S RICKY LIU,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,M/S CALLE 16,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Babilla (Carne de res de Primera) ,1 Kilogramos,,7.94,6.61,6.61,6.50,,,,6.48,6.55,,,,,6.03,,7.94,,,6.50,,,7.94,6.55,6.55,,6.55,6.50,,,6.55,6.55,6.53,,6.53,,,6.55,,6.50,6.55,6.24,,6.55,6.50,,,5.96,6.22,6.10,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27,,,,6.81,6.81,6.54
Bistec de Cinta ,1 Kilogramos,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.60,5.59,5.59,5.62,5.62,5.62,,5.57,,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.58,5.46,5.62,,5.62,5.62,5.62,,5.52,5.47,5.25,5.59,,5.54,5.62,5.62,5.57,5.27,5.25,5.62,5.62,5.26,,5.23,5.15,5.23,,,,,,,,,,5.51,,,,,,,,,,,5.62,,5.62,5.62,5.51,,,5.62,,,5.62,5.62,,,,5.62,5.49,5.62
Carne Molida de Primera ,1 Kilogramos,,4.74,4.74,4.74,,4.74,4.74,4.74,,,,,4.74,4.74,,,,4.74,4.74,,4.74,4.74,4.30,4.74,4.74,4.76,,,,,4.74,4.74,,4.14,,4.74,,4.74,4.12,,4.74,4.73,,4.74,,4.74,4.74,4.74,,,,,,,,,,,,4.41,4.41,,4.74,,,,4.74,,,4.74,,,,,4.74,4.74,,,,,,4.74,,,4.74,,4.39,4.74,
Carne para Sopa (Costilla) ,1 Kilogramos,6.93,4.95,6.16,6.16,4.17,,,,4.43,,5.25,4.75,4.75,4.75,4.58,4.58,4.95,,,4.95,4.60,,4.95,4.75,4.75,4.98,4.63,,,,4.75,,,,4.61,4.85,4.89,4.75,,4.19,,,,2.59,,,,,,,,,,,,,,,,4.41,,,,,,,,,,,,,4.41,,,4.96,,,4.08,,,4.41,5.51,,4.41,,,,
Puerco Liso ,1 Kilogramos,7.80,6.83,15.40,15.48,6.83,5.49,5.49,5.99,5.47,5.95,5.43,5.49,5.99,5.99,5.47,,6.83,5.49,5.49,6.83,5.49,7.80,6.83,5.49,5.49,5.75,5.95,6.83,,,5.49,,,5.47,,5.95,5.52,,5.49,6.83,5.49,5.46,5.95,5.65,,5.49,,5.49,5.44,5.38,,,,,7.17,,,7.72,,,6.06,7.17,7.72,,,,6.61,,,,7.50,8.16,6.06,7.72,6.61,6.28,,,6.50,6.28,,5.51,6.50,,,,5.40,5.49,5.62
Pulpa Negra ,1 Kilogramos,7.95,7.94,13.87,13.87,7.94,7.99,7.99,7.99,7.67,7.99,7.95,7.99,7.99,7.99,6.95,6.97,7.61,7.99,7.99,7.61,7.99,7.95,8.05,7.99,7.99,7.79,7.95,7.61,7.61,7.99,7.99,7.99,7.59,7.75,6.94,7.95,7.65,7.99,7.77,7.61,7.69,7.61,7.25,7.25,,7.99,7.25,,7.23,7.23,7.23,,,,7.72,,,8.82,,,8.27,,7.76,,,,8.27,,,7.72,,8.16,7.72,,,8.36,,,8.49,8.05,,8.05,8.27,,,,7.47,7.47,
Muslo de Pollo con Piel ,1 Kilogramos,4.53,,4.38,4.38,3.99,4.32,4.32,3.99,3.97,3.49,3.55,3.99,4.32,4.32,3.47,3.47,4.31,4.32,4.32,3.99,,,3.99,4.32,4.32,3.76,3.65,4.31,3.99,4.32,4.32,4.32,3.97,,3.63,3.59,3.97,,3.99,3.52,4.32,3.39,3.59,3.59,3.52,4.32,4.32,4.32,3.97,3.40,3.40,,,,,,,,,4.41,,,,,3.31,,,,,,,,,4.08,,,2.98,,4.08,,,,4.41,,,,3.94,3.51,4.19
Pechuga de Pollo con Piel ,1 Kilogramos,4.11,,4.25,4.25,2.65,3.29,3.29,3.28,3.26,2.85,2.85,,3.28,3.28,,2.85,,3.28,3.28,2.65,3.28,3.68,,3.28,3.28,2.89,2.87,,2.99,3.28,3.28,3.28,2.97,3.02,2.82,2.55,2.55,3.28,3.05,2.99,3.28,2.94,2.85,2.49,2.99,3.28,3.28,3.28,3.06,3.60,3.06,,,,,,,4.08,,4.41,,,,,,,,,,,3.53,3.64,,4.08,,,2.98,,3.31,3.20,,,3.86,3.86,3.31,2.98,3.51,2.84,4.25
Pollo Entero s/plumas ,1 Kilogramos,3.24,2.60,2.95,2.95,2.60,2.60,2.60,2.60,2.58,2.45,2.59,2.60,2.60,2.60,2.41,2.41,,2.60,2.60,2.60,2.60,,2.60,2.60,2.60,2.59,2.59,2.60,2.54,2.60,2.60,2.60,2.52,2.57,2.56,2.49,2.45,2.60,2.59,2.50,2.60,2.53,2.51,2.52,2.50,2.60,2.45,2.60,2.50,,2.47,,,,2.60,,,2.60,,,2.60,2.54,2.60,2.60,2.60,,2.60,,,2.60,2.60,2.60,2.20,2.60,2.60,2.54,2.60,,2.54,2.60,,2.54,2.60,2.60,2.60,2.60,2.49,2.40,1.96
Pescado Corvina ,1 Kilogramos,,,12.50,12.50,,,,,,,,,,,11.19,11.19,,,,,,,,,,6.69,6.95,,,,,,,,,9.95,,,,9.37,,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
